shape,format,library,enc_ns,dec_ns,val_ns,size_ns,wire_bytes
Point,ssz,v1,8.15,0.35,0,0.2,8
Point,ssz,v3,8.9,0.2,0.4,0.2,8
Point,pssz32,v1,11.3,0.35,0,0.2,8
Point,pssz32,v3,8.15,0.2,0.35,0.2,8
Point,pssz-auto,v1,11.85,0.35,0,0.2,8
Point,pssz-auto,v3,8.2,0.2,0.3,0.2,8
Point,frac32,v1,8.3,0.25,0,0.2,8
Point,frac32,v3,8.1,0.2,0.35,0.2,8
Point,bin,v1,8.25,0.2,0,0,8
Point,bin,v3,9.85,0.2,0.4,0.2,8
Point,borsh,v1,9.95,0.35,0,0,8
Point,borsh,v3,10,0.2,0.45,0.2,8
Point,bincode,v1,9.8,0.35,0,0,8
Point,bincode,v3,9.55,0.2,0.5,0.2,8
Point,avro,v1,14.95,0.7,0,0,3
Point,avro,v3,28.9,0.85,0.55,29.3,3
NameRecord,ssz,v1,8.15,0.35,0,0.2,16
NameRecord,ssz,v3,8.1,0.2,0.45,0.2,16
NameRecord,pssz32,v1,12.05,0.35,0,0.2,16
NameRecord,pssz32,v3,8.1,0.25,0.35,0.25,16
NameRecord,pssz-auto,v1,11.85,0.3,0,0.2,16
NameRecord,pssz-auto,v3,8.1,0.2,0.35,0.2,16
NameRecord,frac32,v1,8.2,0.35,0,0.2,16
NameRecord,frac32,v3,8.2,0.2,0.35,0.2,16
NameRecord,bin,v1,8.25,0.25,0,0,16
NameRecord,bin,v3,8.15,0.2,0.45,0.2,16
NameRecord,borsh,v1,8.2,0.35,0,0,16
NameRecord,borsh,v3,8.15,0.2,0.45,0.2,16
NameRecord,bincode,v1,7.65,0.35,0,0,16
NameRecord,bincode,v3,8.15,0.2,0.35,0.2,16
NameRecord,avro,v1,29,2.15,0,0,12
NameRecord,avro,v3,55.05,3.05,0.45,54.1,12
FlatRecord,ssz,v1,18.3,14.4,0.1,0.2,32
FlatRecord,ssz,v3,17.25,14.55,0.45,0.2,32
FlatRecord,pssz32,v1,18.55,14.85,0,0.25,36
FlatRecord,pssz32,v3,17.95,13.9,0.35,0.2,36
FlatRecord,pssz-auto,v1,17.65,14.8,0,0.2,36
FlatRecord,pssz-auto,v3,17.1,13.5,0.35,0.25,36
FlatRecord,frac32,v1,21.1,15.6,0,0.35,42
FlatRecord,frac32,v3,23.25,13.4,0.3,0.25,42
FlatRecord,bin,v1,25.7,13.75,0,0,27
FlatRecord,bin,v3,17.55,14.75,0.4,0.85,27
FlatRecord,borsh,v1,18.4,12.45,0,0,32
FlatRecord,borsh,v3,15.55,13.2,0.45,0.2,32
FlatRecord,bincode,v1,19.95,12.7,0,0,40
FlatRecord,bincode,v3,17.1,13.9,0.45,0.2,40
FlatRecord,avro,v1,41.25,46.55,0,0,18
FlatRecord,avro,v3,47.15,20.25,0.5,46.95,18
Record,ssz,v1,21.4,15.95,0,0.25,39
Record,ssz,v3,33.45,15.1,0.9,0.25,39
Record,pssz32,v1,20.5,15.2,0,0.25,42
Record,pssz32,v3,20.5,17.55,0.45,0.25,42
Record,pssz-auto,v1,20.75,14.7,0,0.25,42
Record,pssz-auto,v3,20.35,18.4,0.45,0.25,42
Record,frac32,v1,25.25,16.35,0,0.45,48
Record,frac32,v3,25.55,15.55,0.35,0.35,48
Record,bin,v1,27.1,14.65,0,0,30
Record,bin,v3,18.6,16.55,0.35,0.95,30
Record,borsh,v1,19.3,13.55,0,0,35
Record,borsh,v3,16.45,15.3,0.45,0.25,35
Record,bincode,v1,19.9,12.9,0,0,43
Record,bincode,v3,16.3,15.55,0.45,0.25,43
Record,avro,v1,61.4,55.7,0,0,24
Record,avro,v3,66.55,21.35,0.55,62.05,24
Validator,ssz,v1,9.1,1.55,0,0.2,65
Validator,ssz,v3,9.05,0.8,0.45,0.2,65
Validator,pssz32,v1,12,1.65,0,0.2,65
Validator,pssz32,v3,9,0.8,0.45,0.2,65
Validator,pssz-auto,v1,12.4,1.65,0,0.2,65
Validator,pssz-auto,v3,9,0.8,0.45,0.2,65
Validator,frac32,v1,9.05,1.65,0,0.2,65
Validator,frac32,v3,9,0.8,0.45,0.2,65
Validator,bin,v1,12.8,1.65,0,0,65
Validator,bin,v3,9.4,0.8,0.45,0.2,65
Validator,borsh,v1,9.55,2.5,0,0,65
Validator,borsh,v3,9.55,0.8,0.45,0.2,65
Validator,bincode,v1,8.5,2.35,0,0,65
Validator,bincode,v3,9.05,0.75,0.4,0.2,65
Validator,avro,v1,53.5,12.75,0,0,23
Validator,avro,v3,68.35,6.55,0.45,70.85,23
Order,ssz,v1,38.5,73.1,0,1.65,179
Order,ssz,v3,62.4,86.4,0.45,1.15,179
Order,pssz32,v1,39.65,74.1,0,1.15,199
Order,pssz32,v3,69.3,91.35,0.35,0.95,199
Order,pssz-auto,v1,35.95,68.95,0,1.15,199
Order,pssz-auto,v3,69.45,88.1,0.35,0.95,199
Order,bin,v1,53.15,67.15,0,0,148
Order,bin,v3,29.95,71.75,0.45,3.35,148
Order,borsh,v1,29.6,52.65,0,0,163
Order,borsh,v3,20.9,72.4,0.4,1.15,163
Order,bincode,v1,29.5,60.85,0,0,191
Order,bincode,v3,21.5,71.2,0.45,1.15,191
Order,avro,v1,68.7,94.7,0,0,120
Order,avro,v3,142.1,75.45,0.45,137.95,120
ValidatorList,ssz,v1,122.75,76,0.1,0.2,6512
ValidatorList,ssz,v3,140.3,76.05,0.45,0.2,6512
ValidatorList,pssz32,v1,172.5,155.05,0,0.2,6516
ValidatorList,pssz32,v3,150,74.65,0.35,0.2,6516
ValidatorList,pssz-auto,v1,163.1,152.75,0,0.2,6516
ValidatorList,pssz-auto,v3,115.5,76.5,0.35,0.2,6516
ValidatorList,frac32,v1,128.65,76.15,0,0.2,6518
ValidatorList,frac32,v3,118.3,73.7,0.35,0.2,6518
ValidatorList,bin,v1,207.05,149.55,0,0,6511
ValidatorList,bin,v3,118.95,75.1,0.45,0.45,6511
ValidatorList,borsh,v1,145.45,211.25,0,0,6512
ValidatorList,borsh,v3,130.55,77.55,0.45,0.2,6512
ValidatorList,bincode,v1,140.2,211.35,0,0,6516
ValidatorList,bincode,v3,117.35,71.7,0.45,0.2,6516
ValidatorList,avro,v1,4886.35,1067.5,0,0,2679
ValidatorList,avro,v3,1321.1,823.75,0.4,1178.45,2679
