shape,format,library,enc_ns,dec_ns,val_ns,size_ns,wire_bytes
Point,ssz,v1,8.9,0.35,0,0.25,8
Point,ssz,v3,8.9,0.25,0.5,0.25,8
Point,pssz32,v1,13.05,0.35,0,0.25,8
Point,pssz32,v3,8.8,0.25,0.35,0.25,8
Point,pssz-auto,v1,12.3,0.35,0,0.25,8
Point,pssz-auto,v3,8.5,0.2,0.35,0.2,8
Point,frac32,v1,8.55,0.35,0,0.25,8
Point,frac32,v3,8.55,0.25,0.35,0.2,8
Point,bin,v1,8.6,0.25,0,0,8
Point,bin,v3,8.55,0.25,0.45,0.25,8
Point,borsh,v1,8.55,0.3,0,0,8
Point,borsh,v3,8.55,0.25,0.45,0.25,8
Point,bincode,v1,8.55,0.35,0,0,8
Point,bincode,v3,8.55,0.25,0.6,0.2,8
Point,avro,v1,13.15,0.75,0,0,3
Point,avro,v3,28.3,0.9,0.55,28.55,3
NameRecord,ssz,v1,7.85,0.35,0,0.2,16
NameRecord,ssz,v3,8.05,0.2,0.45,0.25,16
NameRecord,pssz32,v1,12.1,0.35,0,0.2,16
NameRecord,pssz32,v3,8,0.2,0.3,0.2,16
NameRecord,pssz-auto,v1,11.95,0.35,0,0.2,16
NameRecord,pssz-auto,v3,8,0.2,0.45,0.2,16
NameRecord,frac32,v1,8,0.3,0,0.2,16
NameRecord,frac32,v3,8.15,0.2,0.35,0.2,16
NameRecord,bin,v1,7.95,0.2,0,0,16
NameRecord,bin,v3,8.35,0.2,0.45,0.2,16
NameRecord,borsh,v1,8.15,0.35,0,0,16
NameRecord,borsh,v3,8.1,0.2,0.45,0.2,16
NameRecord,bincode,v1,7.9,0.35,0,0,16
NameRecord,bincode,v3,8.6,0.2,0.45,0.2,16
NameRecord,avro,v1,29.35,2.2,0,0,12
NameRecord,avro,v3,50.95,3.05,0.45,51.35,12
FlatRecord,ssz,v1,17.5,14.15,0.1,0.2,32
FlatRecord,ssz,v3,18.65,13.8,0.45,0.2,32
FlatRecord,pssz32,v1,17.35,13.5,0,0.2,36
FlatRecord,pssz32,v3,18.4,13.9,0.35,0.2,36
FlatRecord,pssz-auto,v1,17.7,14.5,0,0.2,36
FlatRecord,pssz-auto,v3,18.1,12.85,0.35,0.25,36
FlatRecord,frac32,v1,18.45,15,0,0.35,42
FlatRecord,frac32,v3,22.3,13.45,0.3,0.25,42
FlatRecord,bin,v1,25,13.05,0,0,27
FlatRecord,bin,v3,16.4,15.7,0.4,0.85,27
FlatRecord,borsh,v1,17.9,12.1,0,0,32
FlatRecord,borsh,v3,15.2,13,0.4,0.2,32
FlatRecord,bincode,v1,19,11.75,0,0,40
FlatRecord,bincode,v3,17.25,13.35,0.4,0.2,40
FlatRecord,avro,v1,38,44.4,0,0,18
FlatRecord,avro,v3,47.75,18.4,0.55,45.55,18
Record,ssz,v1,21.35,15.2,0,0.3,39
Record,ssz,v3,31.35,15,0.45,0.25,39
Record,pssz32,v1,20.6,15.3,0,0.25,42
Record,pssz32,v3,22.6,17.65,0.45,0.25,42
Record,pssz-auto,v1,20.45,15.15,0,0.25,42
Record,pssz-auto,v3,21.3,18.35,0.45,0.25,42
Record,frac32,v1,24.3,16.45,0,0.4,48
Record,frac32,v3,25.45,14.95,0.35,0.35,48
Record,bin,v1,28.25,14.4,0,0,30
Record,bin,v3,18.15,17.3,0.45,0.9,30
Record,borsh,v1,19.55,12.8,0,0,35
Record,borsh,v3,17.85,15.3,0.45,0.25,35
Record,bincode,v1,19.7,12.7,0,0,43
Record,bincode,v3,16.2,14.65,0.45,0.25,43
Record,avro,v1,65,53.7,0,0,24
Record,avro,v3,60.45,23.6,0.55,61.25,24
Validator,ssz,v1,8.7,1.65,0,0.2,65
Validator,ssz,v3,8.75,2.15,0.4,0.2,65
Validator,pssz32,v1,11.55,1.65,0,0.2,65
Validator,pssz32,v3,9.1,2.15,0.45,0.2,65
Validator,pssz-auto,v1,12,1.65,0,0.2,65
Validator,pssz-auto,v3,9.05,2.3,0.45,0.2,65
Validator,frac32,v1,9.05,1.65,0,0.2,65
Validator,frac32,v3,9.05,2.3,0.45,0.2,65
Validator,bin,v1,12.55,1.65,0,0,65
Validator,bin,v3,9.1,0.8,0.45,0.2,65
Validator,borsh,v1,9.05,2.5,0,0,65
Validator,borsh,v3,8.45,0.8,0.45,0.2,65
Validator,bincode,v1,8.9,2.5,0,0,65
Validator,bincode,v3,9.05,0.8,0.45,0.2,65
Validator,avro,v1,56,11.85,0,0,23
Validator,avro,v3,64.5,6.2,0.45,69.65,23
Order,ssz,v1,34.85,72.95,0,1.5,179
Order,ssz,v3,69.15,88.95,0.35,1,179
Order,pssz32,v1,36.1,76.4,0,1.15,199
Order,pssz32,v3,74.3,90.25,0.35,1.15,199
Order,pssz-auto,v1,32.75,73.15,0,1.1,199
Order,pssz-auto,v3,74.3,88.7,0.35,1.15,199
Order,bin,v1,48.15,65.75,0,0,148
Order,bin,v3,29.25,72.15,0.45,3.25,148
Order,borsh,v1,27.85,53.25,0,0,163
Order,borsh,v3,20.95,66.65,0.45,1.15,163
Order,bincode,v1,29.05,53.05,0,0,191
Order,bincode,v3,21.3,66.1,0.4,1.1,191
Order,avro,v1,66.95,94.15,0,0,120
Order,avro,v3,129.3,72.75,0.45,132.8,120
ValidatorList,ssz,v1,121.4,76.8,0.1,0.2,6512
ValidatorList,ssz,v3,139.4,75.6,0.4,0.2,6512
ValidatorList,pssz32,v1,166.2,158.75,0,0.2,6516
ValidatorList,pssz32,v3,124.3,75.8,0.35,0.2,6516
ValidatorList,pssz-auto,v1,165.85,156,0,0.2,6516
ValidatorList,pssz-auto,v3,119,87.1,0.35,0.2,6516
ValidatorList,frac32,v1,131.3,79.35,0,0.2,6518
ValidatorList,frac32,v3,126.8,77.2,0.3,0.2,6518
ValidatorList,bin,v1,210.6,151.2,0,0,6511
ValidatorList,bin,v3,127.1,76.5,0.4,0.45,6511
ValidatorList,borsh,v1,141.8,210.5,0,0,6512
ValidatorList,borsh,v3,122.15,78,0.45,0.2,6512
ValidatorList,bincode,v1,144.45,209.8,0,0,6516
ValidatorList,bincode,v3,123.05,73.45,0.4,0.2,6516
ValidatorList,avro,v1,4971.8,1067.6,0,0,2679
ValidatorList,avro,v3,1325.45,828.35,0.35,1174.25,2679
